# Copyright (C) 2021  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 21.1.0 Build 842 10/21/2021 SJ Lite Edition
# File: C:\Users\revoh\OneDrive - Ben Gurion University of the Negev\My Domain\CPU Architecture\Materials\Material_2 - FPGA,Quartus\Counter & PLL - Code Example\Part 1 - Counter\DE2pinPlanner.csv
# Generated on: Wed Jul 20 12:39:44 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
clk,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
enable,Input,PIN_AB28,5,B5_N1,PIN_AB28,2.5 V,,,,,
q[7],Output,PIN_H19,7,B7_N2,PIN_H19,2.5 V,,,,,
q[6],Output,PIN_J19,7,B7_N2,PIN_J19,2.5 V,,,,,
q[5],Output,PIN_E18,7,B7_N1,PIN_E18,2.5 V,,,,,
q[4],Output,PIN_F18,7,B7_N1,PIN_F18,2.5 V,,,,,
q[3],Output,PIN_F21,7,B7_N0,PIN_F21,2.5 V,,,,,
q[2],Output,PIN_E19,7,B7_N0,PIN_E19,2.5 V,,,,,
q[1],Output,PIN_F19,7,B7_N0,PIN_F19,2.5 V,,,,,
q[0],Output,PIN_G19,7,B7_N2,PIN_G19,2.5 V,,,,,
