         ps       /tb_alu_lab_3/A  /tb_alu_lab_3/B       /tb_alu_lab_3/C                
          delta                     /tb_alu_lab_3/alufn   /tb_alu_lab_3/N_flag          
                                                      /tb_alu_lab_3/C_flag              
                                                        /tb_alu_lab_3/Z_flag            
          0  +0  UUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUU UUUU UUUUUUUUUUUUUUUU U U U 
          0  +1  0000000000000011 0000000000000101 0000 UUUUUUUUUUUUUUUU 0 0 0 
          0  +2  0000000000000011 0000000000000101 0000 0000000000000000 U 1 U 
          0  +3  0000000000000011 0000000000000101 0000 UUUUUUUUUUUUUUUU U 0 U 
          0  +6  0000000000000011 0000000000000101 0000 UUUUUUUUUUUUUU01 0 0 0 
          0  +7  0000000000000011 0000000000000101 0000 000000000000U110 0 0 0 
          0  +8  0000000000000011 0000000000000101 0000 0000000000000100 0 0 0 
          0  +9  0000000000000011 0000000000000101 0000 0000000000000000 0 1 0 
          0 +10  0000000000000011 0000000000000101 0000 0000000000001000 0 0 0 
      10000  +1  1111111111111111 0000000000000001 0000 0000000000001000 0 0 0 
      10000  +5  1111111111111111 0000000000000001 0000 0000000000001100 0 0 1 
      10000  +6  1111111111111111 0000000000000001 0000 1111111111111000 0 0 1 
      10000  +7  1111111111111111 0000000000000001 0000 1111111111110000 0 0 1 
      10000  +8  1111111111111111 0000000000000001 0000 1111111111100000 0 0 1 
      10000  +9  1111111111111111 0000000000000001 0000 1111111111000000 0 0 1 
      10000 +10  1111111111111111 0000000000000001 0000 1111111110000000 0 0 1 
      10000 +11  1111111111111111 0000000000000001 0000 1111111100000000 0 0 1 
      10000 +12  1111111111111111 0000000000000001 0000 1111111000000000 0 0 1 
      10000 +13  1111111111111111 0000000000000001 0000 1111110000000000 0 0 1 
      10000 +14  1111111111111111 0000000000000001 0000 1111100000000000 0 0 1 
      10000 +15  1111111111111111 0000000000000001 0000 1111000000000000 0 0 1 
      10000 +16  1111111111111111 0000000000000001 0000 1110000000000000 0 0 1 
      10000 +17  1111111111111111 0000000000000001 0000 1100000000000000 0 0 1 
      10000 +18  1111111111111111 0000000000000001 0000 1000000000000000 0 0 0 
      10000 +19  1111111111111111 0000000000000001 0000 0000000000000000 1 1 0 
      20000  +1  0000000000000011 0000000000000101 0001 0000000000000000 1 1 0 
      20000  +5  0000000000000011 0000000000000101 0001 0000000000000101 1 0 0 
      20000  +6  0000000000000011 0000000000000101 0001 0000000000000110 1 0 0 
      20000  +7  0000000000000011 0000000000000101 0001 0000000000000010 1 0 0 
      30000  +1  0000000000000101 0000000000000011 0001 0000000000000010 1 0 0 
      30000  +5  0000000000000101 0000000000000011 0001 0000000000000100 1 0 0 
      30000  +6  0000000000000101 0000000000000011 0001 0000000000001110 1 0 0 
      30000  +7  0000000000000101 0000000000000011 0001 0000000000011110 1 0 0 
      30000  +8  0000000000000101 0000000000000011 0001 0000000000111110 1 0 0 
      30000  +9  0000000000000101 0000000000000011 0001 0000000001111110 1 0 0 
      30000 +10  0000000000000101 0000000000000011 0001 0000000011111110 1 0 0 
      30000 +11  0000000000000101 0000000000000011 0001 0000000111111110 1 0 0 
      30000 +12  0000000000000101 0000000000000011 0001 0000001111111110 1 0 0 
      30000 +13  0000000000000101 0000000000000011 0001 0000011111111110 1 0 0 
      30000 +14  0000000000000101 0000000000000011 0001 0000111111111110 1 0 0 
      30000 +15  0000000000000101 0000000000000011 0001 0001111111111110 1 0 0 
      30000 +16  0000000000000101 0000000000000011 0001 0011111111111110 1 0 0 
      30000 +17  0000000000000101 0000000000000011 0001 0111111111111110 1 0 1 
      30000 +18  0000000000000101 0000000000000011 0001 1111111111111110 0 0 1 
      40000  +1  0000000000000111 0000000000000111 0001 1111111111111110 0 0 1 
      40000  +5  0000000000000111 0000000000000111 0001 1111111111111010 0 0 1 
      40000  +6  0000000000000111 0000000000000111 0001 1111111111110000 0 0 1 
      40000  +7  0000000000000111 0000000000000111 0001 1111111111100000 0 0 1 
      40000  +8  0000000000000111 0000000000000111 0001 1111111111000000 0 0 1 
      40000  +9  0000000000000111 0000000000000111 0001 1111111110000000 0 0 1 
      40000 +10  0000000000000111 0000000000000111 0001 1111111100000000 0 0 1 
      40000 +11  0000000000000111 0000000000000111 0001 1111111000000000 0 0 1 
      40000 +12  0000000000000111 0000000000000111 0001 1111110000000000 0 0 1 
      40000 +13  0000000000000111 0000000000000111 0001 1111100000000000 0 0 1 
      40000 +14  0000000000000111 0000000000000111 0001 1111000000000000 0 0 1 
      40000 +15  0000000000000111 0000000000000111 0001 1110000000000000 0 0 1 
      40000 +16  0000000000000111 0000000000000111 0001 1100000000000000 0 0 1 
      40000 +17  0000000000000111 0000000000000111 0001 1000000000000000 0 0 0 
      40000 +18  0000000000000111 0000000000000111 0001 0000000000000000 1 1 0 
      50000  +1  0000000011110000 0000111100001111 0010 0000000000000000 1 1 0 
      50000  +2  0000000011110000 0000111100001111 0010 0000000000000000 0 1 0 
      60000  +1  0000000011110000 0000111100001111 0011 0000000000000000 0 1 0 
      60000  +4  0000000011110000 0000111100001111 0011 0000111111111111 0 0 0 
      70000  +1  0000000011111111 0000111100001111 0100 0000111111111111 0 0 0 
      70000  +5  0000000011111111 0000111100001111 0100 0000111111110000 0 0 0 
      80000  +1  1010101010101010 1010101010101010 0100 0000111111110000 0 0 0 
      80000  +5  1010101010101010 1010101010101010 0100 0000000000000000 0 1 0 
      90000  +1  1000000000000000 0000000000000001 0011 0000000000000000 0 1 0 
      90000  +3  1000000000000000 0000000000000001 0011 0000000000000000 0 1 1 
      90000  +4  1000000000000000 0000000000000001 0011 1010101010101010 0 0 1 
      90000  +5  1000000000000000 0000000000000001 0011 1000000000000001 0 0 1 
     100000  +1  0001001000110100 0101011001111000 1111 1000000000000001 0 0 1 
     100000  +2  0001001000110100 0101011001111000 1111 1000000000000001 0 0 0 
     100000  +3  0001001000110100 0101011001111000 1111 0000000000000000 0 1 0 
